"ID","Desc","Water","Calories","Protein","Fat","Carbs","Fiber","Sugar","Calcium","Potassium","Sodium","VitaminC","Chol","Portion"
13320,"BEEF,VAR MEATS&BY-PRODUCTS,BRAIN,CKD,SIMMRD",74.86,151,11.67,10.53,1.48,0,0,9,244,108,10.5,3100,"3 oz"
13318,"BEEF,VAR MEATS&BY-PRODUCTS,BRAIN,RAW",76.29,143,10.86,10.3,1.05,0,0,43,274,126,10.7,3010,"1 oz"
17357,"LAMB,NZ,IMP,BRAINS,CKD,SOAKED & FRIED",73.11,154,14.03,10.92,0,0,0,6,258,101,0,2559,"3 oz"
1137,"EGG,YOLK,DRIED",3.08,669,33.63,59.13,0.66,0,0.23,289,264,149,0,2307,"1 cup,  sifted"
17358,"LAMB,NZ,IMP,BRAINS,RAW",78.52,118,11.33,8.03,0,0,0,4,307,117,0,2100,"4 oz"
1133,"EGG,WHL,DRIED",2.78,592,48.05,43.9,1.13,0,0.56,244,540,476,0,1630,"1 cup,  sifted"
1125,"EGG,YOLK,RAW,FRSH",52.31,322,15.86,26.54,3.59,0,0.56,129,109,48,0,1085,"1 large"
23421,"BEEF,NZ,IMP,VAR MEATS & BY-PRODUCTS,KIDNEY,CKD,BLD",66.44,157,27.28,5.27,0,0,0,14,144,123,0,1002,"3 oz"
1126,"EGG,YOLK,RAW,FRZ,PAST",56.44,296,15.53,25.6,0.81,0,0.16,134,121,67,0,991,"1 oz"
1127,"EGG,YOLK,RAW,FRZ,SUGARED,PAST",51.23,307,13.87,22.82,10.95,0,10.3,124,105,70,0,917,"1 oz"
1160,"EGG,YOLK,RAW,FRZ,SALTED,PAST",50.87,275,14.07,22.93,1.77,0,0.07,113,111,3487,0,912,"1 oz"
1138,"EGG,DUCK,WHOLE,FRESH,RAW",70.83,185,12.81,13.77,1.45,0,0.93,64,222,146,0,884,"1 egg"
1139,"EGG,GOOSE,WHOLE,FRESH,RAW",70.43,185,13.87,13.27,1.35,0,0.94,60,210,138,0,852,"1 egg"
1140,"EGG,QUAIL,WHOLE,FRESH,RAW",74.35,158,13.05,11.09,0.41,0,0.4,64,132,141,0,844,"1 egg"
13324,"BEEF,VAR MEATS&BY-PRODUCTS,KIDNEYS,CKD,SIMMRD",66.88,158,27.27,4.65,0,0,0,19,135,94,0,716,"3 oz"
5178,"TURKEY,LIVER,ALL CLASSES,CKD,SIMMRD",63.99,189,27,8.18,0,0,0,19,153,98,22.6,648,"1 liver cooked"
