y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22
-2.652,1.274,2.62,3.563,3.303,10.32,16.268,2.724,19.413,9.985,20.743,3.777,1.981,4.03,19.402,2.581,16.087,5.519,9.53,0.212,3.785,C,E
-5.128,-1.445,1.058,2.291,2.382,7.539,12.219,4.204,1.854,6.754,3.447,10.585,12.869,3.646,11.686,14.549,13.133,9.668,7.22,17.327,13.782,A,E
9.319,1.301,0.759,3.03,3.633,12.07,9.033,10.86,7.313,-5.193,14.726,2.633,20.29,13.73,1.496,5.056,1.216,0.835,-4.005,2.992,8.835,C,D
10.232,2.767,3.276,3.939,6.426,15.559,2.991,13.416,10.023,4.961,15.544,2.733,2.196,8.578,4.367,7.045,13.523,6.997,1.395,11.25,5.68,A,E
-7.065,0.845,1.389,2.174,2.87,9.104,13.279,1.533,16.638,14.809,10.842,2.916,10.145,10.181,5.408,13.746,10.288,2.062,14.043,5.765,21.419,B,E
3.38,3.627,3.658,4.562,6.219,15.697,13.384,13.886,2.087,11.975,7.283,10.878,-4.582,13.153,9.432,4.173,-1.734,8.578,13.931,12.43,4.371,A,F
6.189,2.376,2.647,3.625,5.08,10.861,4.745,14.035,-1.548,11.651,4.606,13.937,11.141,6.25,9.921,4.98,6.942,16.274,3.942,8.755,11.614,C,F
28.246,3.095,3.849,5.319,5.959,10.788,1.322,9.42,6.203,15.557,13.894,6.867,10.897,5.414,5.598,12.739,14.31,6.039,5.558,9.013,16.511,B,D
6.821,2.84,3.062,5.423,6.247,0.043,8.757,13.04,8.422,-1.691,11.185,4.245,3.295,15.62,15.421,10.516,19.043,12.408,9.828,12.728,7.554,C,F
12.777,0.119,1.511,3.225,3.506,2.336,-0.272,1.784,3.768,11.82,3.504,9.807,5.323,6.127,13.099,1.887,6.156,3.967,7.409,14.273,8.064,C,F
3.791,1.781,3.972,3.008,5.318,3.689,8.348,16.479,6.047,2.565,3.307,7.776,13.774,11.721,6.154,17.462,7.138,10.541,9.867,9.183,7.337,B,F
-4.569,-1.236,-0.799,2.312,3.094,16.09,13.098,13.914,11.606,12.375,-6.134,2.451,10.447,8.685,7.534,19.048,8.42,5.602,6.857,3.451,13.683,A,E
4.797,1.216,2.597,2.801,4.008,16.839,4.713,1.107,8.773,7.148,17.782,5.56,8.857,11.32,18.33,2.941,-0.066,17.437,3.769,5.306,13.958,B,E
2.992,3.336,4.249,3.74,4.557,7.638,12.284,-0.344,7.73,2.225,2.864,16.796,4.628,12.933,12.13,7.663,8.704,15.222,5.642,2.774,14.246,B,E
-2.794,1.569,2.445,2.424,3.262,1.138,12.22,8.98,11.342,12.361,10.044,16.285,16.712,3.465,-2.059,7.657,16.655,3.655,9.042,-0.846,3.067,A,E
9.157,1.819,3.251,3.423,6.53,7.847,15.75,3.72,8.392,6.615,14.214,0.178,13.939,0.036,4.632,7.313,18.734,10.51,4.207,16.093,0.904,B,D
4.218,1.698,2.295,4.148,4.393,4.848,8.954,-0.825,13.603,12.346,14.263,1.318,5.429,0.439,15.524,4.98,8.111,11.62,6.966,4.152,0.789,C,E
2.346,2.51,2.537,3.483,4.633,13.19,10.273,7.209,8.217,14.507,6.479,9.855,15.442,-2.785,4.631,12.578,10.077,5.189,10.253,11.304,6.324,A,E
9.795,2.584,3.317,6.082,5.374,13.12,8.126,8.544,8.902,-2.696,11.758,8.716,7.434,7.553,-1.392,7.585,2.713,7.771,1.357,0.152,10.367,A,E
7.089,-0.045,2.071,2.808,3.011,11.641,2.187,17.825,5.833,0.716,18.816,7.864,3.232,10.536,4.486,2.38,10.086,8.519,1.894,16.266,8.532,C,F
9.193,1.526,2.95,3.687,4.283,12.707,10.941,11.805,21.77,19.479,7.095,12.029,7.7,17.551,8.581,11.534,14.91,0.876,18.063,3.577,18.782,A,D
1.158,0.224,2.75,4.084,3.426,11.785,9.08,10.87,-0.025,5.418,12.859,6.138,2.511,15.782,7.36,4.469,1.46,10.613,11.019,12.973,1.987,A,E
0.356,0.687,0.835,2.28,3.073,11.739,6.736,11.073,8.606,13.548,7.68,15.208,6.945,6.88,13.639,0.043,5.066,14.242,4.789,12.885,8.984,C,E
5.505,0.45,0.811,3.178,3.587,11.14,3.551,8.571,1.324,13.803,8.705,5.77,15.227,5.322,3.581,2.218,18.44,10.86,8.568,5.936,12.862,C,F
2.451,-0.57,-0.093,1.082,3.122,5.603,1.012,14.52,6.804,-3.318,9.141,4.931,7.724,17.231,13.688,7.678,16.801,5.62,6.879,15.788,6.243,B,F
15.907,2.498,3.419,5.111,6.02,5.747,1.526,1.496,7.519,13.454,12.769,11.35,1.789,-3.862,15.712,-2.452,4.54,3.967,13.331,19.169,5.513,A,E
7.501,1.102,2.077,3.906,4.096,4.803,11.919,9.89,-0.653,5.062,8.742,5.596,4.843,15.15,7.387,12.955,4.472,10.024,5.707,7.961,9.098,C,D
-3.322,1.865,2.519,4.188,4.4,8.836,14.149,13.929,17.156,14.131,3.346,4.054,4.112,10.516,0.25,21.908,4.871,1.308,14.646,5.699,9.2,A,F
9.25,-0.609,1.622,1.791,2.952,15.239,1.743,-1.098,12.117,8.257,14.682,4.216,10.269,11.448,8.623,11.453,-2.586,14.794,7.923,1.614,13.306,A,D
2.456,0.732,2.332,3.273,3.917,8.137,15.139,5.212,14.24,6.086,-0.922,13.492,2.635,10.091,11.923,8.581,2.44,11.107,2.413,4.687,11.784,A,D
4.273,2.227,2.614,4.457,5.689,3.39,11.162,12.429,11.299,8.571,3.364,19.03,15.017,12.521,-0.646,9.039,14.502,8.568,10.664,3.93,0.316,B,E
